vehicle_number,leave_time,train,route_number,direction,stop_time,arrive_time,location_id,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status,leave,stop,arrive
6010,23740,5001,50,0,,23721,1118,0,1.4925,1.5466,55.281668,-122.65422,45.63553,2,2,06:35:40,,06:35:21
6010,23926,5001,50,0,23820.0,23915,1122,0,2.1816,2.2506,48.839674,-122.641215,45.63791333333333,2,4,06:38:46,06:37:00,06:38:35
6010,24009,5001,50,0,23820.0,23995,1123,2,2.5961,2.6756,32.022501,-122.63254666666668,45.63738333333333,2,2,06:40:09,06:37:00,06:39:55
6010,24441,5001,50,0,23820.0,24419,1129,3,4.6274,4.7293,23.681184,-122.59283666666668,45.64693333333334,2,2,06:47:21,06:37:00,06:46:59
6010,24606,5001,50,0,23820.0,24578,1102,2,5.3469,5.4538,40.406896,-122.586485,45.653128333333335,2,2,06:50:06,06:37:00,06:49:38
6010,23248,5001,50,0,23100.0,23248,1017,0,0.0,0.0,1.860071,-122.672,45.62663333333333,2,5,06:27:28,06:25:00,06:27:28
6010,23871,5001,50,0,23100.0,23859,1121,0,1.9536,2.0282,9.134302,-122.64596833333331,45.6383,2,2,06:37:51,06:25:00,06:37:39
6010,24237,5001,50,0,23100.0,24222,1126,2,3.6822,3.7686,66.718719,-122.6113,45.64250666666667,2,2,06:43:57,06:25:00,06:43:42
6010,24310,5001,50,0,24180.0,24294,1127,2,4.042,4.1346,34.404947,-122.604275,45.64411166666667,2,4,06:45:10,06:43:00,06:44:54
6010,24707,5001,50,0,24660.0,24707,1095,0,5.7999,6.0031,87.816519,-122.58435,45.65630166666666,2,6,06:51:47,06:51:00,06:51:47
6010,23382,5001,50,0,24660.0,23366,1115,1,0.3666,0.3971,96.116289,-122.67047666666669,45.630948333333336,2,2,06:29:42,06:51:00,06:29:26
6010,23795,5001,50,0,23700.0,23778,1119,0,1.7063,1.7597,70.696739,-122.65048833333331,45.637185,2,4,06:36:35,06:35:00,06:36:18
6010,24366,5001,50,0,24300.0,24350,1128,2,4.2837,4.3794,99.90046,-122.59911166666669,45.64496666666667,2,4,06:46:06,06:45:00,06:45:50
6010,24516,5001,50,0,24300.0,24499,1130,3,5.0536,5.1561,32.289272,-122.58517166666668,45.65006,2,2,06:48:36,06:45:00,06:48:19
6010,23469,5001,50,0,24300.0,23456,1116,1,0.5157,0.5381,91.792325,-122.67042833333332,45.63297166666667,2,2,06:31:09,06:45:00,06:30:56
6010,23621,5001,50,0,24300.0,23596,1117,0,1.1595,1.2142,23.418736,-122.65987666666666,45.63361666666667,2,2,06:33:41,06:45:00,06:33:16
